epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1590567884800,2020-05-27T10:24:44.800,0.000,-0.842,-0.059,0.563
1590567884805,2020-05-27T10:24:44.805,0.005,-0.847,-0.061,0.567
1590567884810,2020-05-27T10:24:44.810,0.010,-0.847,-0.063,0.564
1590567884815,2020-05-27T10:24:44.815,0.015,-0.844,-0.068,0.562
1590567884820,2020-05-27T10:24:44.820,0.020,-0.847,-0.067,0.562
1590567884825,2020-05-27T10:24:44.825,0.025,-0.845,-0.069,0.563
1590567884830,2020-05-27T10:24:44.830,0.030,-0.844,-0.070,0.559
1590567884835,2020-05-27T10:24:44.835,0.035,-0.844,-0.071,0.561
1590567884840,2020-05-27T10:24:44.840,0.040,-0.840,-0.071,0.559
1590567884845,2020-05-27T10:24:44.845,0.045,-0.845,-0.074,0.556
1590567884850,2020-05-27T10:24:44.850,0.050,-0.848,-0.070,0.562
1590567884855,2020-05-27T10:24:44.855,0.055,-0.852,-0.071,0.559
1590567884860,2020-05-27T10:24:44.860,0.060,-0.856,-0.070,0.561
1590567884865,2020-05-27T10:24:44.865,0.065,-0.863,-0.067,0.561
1590567884870,2020-05-27T10:24:44.870,0.070,-0.864,-0.065,0.560
1590567884875,2020-05-27T10:24:44.875,0.075,-0.866,-0.073,0.562
1590567884880,2020-05-27T10:24:44.880,0.080,-0.862,-0.074,0.564
1590567884885,2020-05-27T10:24:44.885,0.085,-0.858,-0.079,0.569
1590567884890,2020-05-27T10:24:44.890,0.090,-0.854,-0.083,0.570
1590567884895,2020-05-27T10:24:44.895,0.095,-0.849,-0.089,0.568
1590567884900,2020-05-27T10:24:44.900,0.100,-0.850,-0.090,0.569
1590567884905,2020-05-27T10:24:44.905,0.105,-0.844,-0.090,0.568
1590567884910,2020-05-27T10:24:44.910,0.110,-0.845,-0.096,0.564
1590567884915,2020-05-27T10:24:44.915,0.115,-0.851,-0.099,0.561
1590567884920,2020-05-27T10:24:44.920,0.120,-0.848,-0.096,0.558
1590567884925,2020-05-27T10:24:44.925,0.125,-0.849,-0.095,0.555
1590567884930,2020-05-27T10:24:44.930,0.130,-0.848,-0.095,0.558
1590567884935,2020-05-27T10:24:44.935,0.135,-0.846,-0.092,0.557
1590567884940,2020-05-27T10:24:44.940,0.140,-0.849,-0.092,0.559
1590567884945,2020-05-27T10:24:44.945,0.145,-0.843,-0.094,0.562
1590567884950,2020-05-27T10:24:44.950,0.150,-0.841,-0.089,0.562
1590567884955,2020-05-27T10:24:44.955,0.155,-0.848,-0.088,0.562
1590567884960,2020-05-27T10:24:44.960,0.160,-0.848,-0.091,0.554
1590567884965,2020-05-27T10:24:44.965,0.165,-0.850,-0.093,0.551
1590567884970,2020-05-27T10:24:44.970,0.170,-0.849,-0.100,0.542
1590567884975,2020-05-27T10:24:44.975,0.175,-0.848,-0.108,0.541
1590567884980,2020-05-27T10:24:44.980,0.180,-0.844,-0.116,0.548
1590567884985,2020-05-27T10:24:44.985,0.185,-0.846,-0.124,0.546
1590567884990,2020-05-27T10:24:44.990,0.190,-0.846,-0.126,0.550
1590567884995,2020-05-27T10:24:44.995,0.195,-0.845,-0.126,0.550
1590567885000,2020-05-27T10:24:45.000,0.200,-0.841,-0.121,0.553
1590567885005,2020-05-27T10:24:45.005,0.205,-0.834,-0.113,0.557
1590567885010,2020-05-27T10:24:45.010,0.210,-0.834,-0.107,0.558
1590567885015,2020-05-27T10:24:45.015,0.215,-0.838,-0.098,0.564
1590567885020,2020-05-27T10:24:45.020,0.220,-0.836,-0.087,0.563
1590567885025,2020-05-27T10:24:45.025,0.225,-0.836,-0.082,0.562
1590567885030,2020-05-27T10:24:45.030,0.230,-0.835,-0.084,0.556
1590567885035,2020-05-27T10:24:45.035,0.235,-0.839,-0.085,0.552
1590567885040,2020-05-27T10:24:45.040,0.240,-0.840,-0.094,0.549
1590567885045,2020-05-27T10:24:45.045,0.245,-0.839,-0.101,0.548
1590567885050,2020-05-27T10:24:45.050,0.250,-0.839,-0.107,0.548
1590567885055,2020-05-27T10:24:45.055,0.255,-0.837,-0.113,0.551
1590567885060,2020-05-27T10:24:45.060,0.260,-0.838,-0.116,0.553
1590567885065,2020-05-27T10:24:45.065,0.265,-0.834,-0.116,0.553
1590567885070,2020-05-27T10:24:45.070,0.270,-0.833,-0.110,0.552
1590567885075,2020-05-27T10:24:45.075,0.275,-0.838,-0.110,0.556
1590567885080,2020-05-27T10:24:45.080,0.280,-0.843,-0.109,0.559
1590567885085,2020-05-27T10:24:45.085,0.285,-0.848,-0.110,0.559
1590567885090,2020-05-27T10:24:45.090,0.290,-0.845,-0.111,0.559
1590567885095,2020-05-27T10:24:45.095,0.295,-0.848,-0.112,0.553
1590567885100,2020-05-27T10:24:45.100,0.300,-0.852,-0.114,0.548
1590567885105,2020-05-27T10:24:45.105,0.305,-0.850,-0.111,0.545
1590567885110,2020-05-27T10:24:45.110,0.310,-0.853,-0.112,0.542
1590567885115,2020-05-27T10:24:45.115,0.315,-0.852,-0.115,0.545
1590567885120,2020-05-27T10:24:45.120,0.320,-0.849,-0.119,0.548
1590567885125,2020-05-27T10:24:45.125,0.325,-0.849,-0.124,0.553
1590567885130,2020-05-27T10:24:45.130,0.330,-0.853,-0.119,0.556
1590567885135,2020-05-27T10:24:45.135,0.335,-0.855,-0.116,0.558
1590567885140,2020-05-27T10:24:45.140,0.340,-0.855,-0.122,0.552
1590567885145,2020-05-27T10:24:45.145,0.345,-0.857,-0.120,0.558
1590567885150,2020-05-27T10:24:45.150,0.350,-0.859,-0.121,0.558
1590567885155,2020-05-27T10:24:45.155,0.355,-0.861,-0.121,0.549
1590567885160,2020-05-27T10:24:45.160,0.360,-0.859,-0.123,0.543
1590567885165,2020-05-27T10:24:45.165,0.365,-0.854,-0.127,0.549
1590567885170,2020-05-27T10:24:45.170,0.370,-0.850,-0.125,0.548
