epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1619362703408,2021-04-25T16:58:23.408,0.000,-0.795,-0.080,0.617
1619362703413,2021-04-25T16:58:23.413,0.005,-0.801,-0.078,0.623
1619362703418,2021-04-25T16:58:23.418,0.010,-0.800,-0.081,0.623
1619362703423,2021-04-25T16:58:23.423,0.015,-0.801,-0.078,0.625
1619362703428,2021-04-25T16:58:23.428,0.020,-0.801,-0.080,0.622
1619362703433,2021-04-25T16:58:23.433,0.025,-0.798,-0.083,0.622
1619362703438,2021-04-25T16:58:23.438,0.030,-0.796,-0.084,0.618
1619362703443,2021-04-25T16:58:23.443,0.035,-0.800,-0.083,0.618
1619362703448,2021-04-25T16:58:23.448,0.040,-0.802,-0.082,0.617
1619362703453,2021-04-25T16:58:23.453,0.045,-0.801,-0.084,0.616
1619362703458,2021-04-25T16:58:23.458,0.050,-0.801,-0.084,0.620
1619362703463,2021-04-25T16:58:23.463,0.055,-0.804,-0.079,0.620
1619362703468,2021-04-25T16:58:23.468,0.060,-0.803,-0.080,0.619
1619362703473,2021-04-25T16:58:23.473,0.065,-0.803,-0.077,0.620
1619362703478,2021-04-25T16:58:23.478,0.070,-0.808,-0.076,0.616
1619362703483,2021-04-25T16:58:23.483,0.075,-0.804,-0.076,0.612
1619362703488,2021-04-25T16:58:23.488,0.080,-0.804,-0.072,0.610
1619362703493,2021-04-25T16:58:23.493,0.085,-0.807,-0.070,0.615
1619362703498,2021-04-25T16:58:23.498,0.090,-0.809,-0.072,0.619
1619362703503,2021-04-25T16:58:23.503,0.095,-0.807,-0.074,0.617
1619362703508,2021-04-25T16:58:23.508,0.100,-0.803,-0.075,0.613
1619362703513,2021-04-25T16:58:23.513,0.105,-0.805,-0.075,0.611
1619362703518,2021-04-25T16:58:23.518,0.110,-0.808,-0.078,0.612
1619362703523,2021-04-25T16:58:23.523,0.115,-0.807,-0.080,0.614
1619362703528,2021-04-25T16:58:23.528,0.120,-0.808,-0.080,0.614
1619362703533,2021-04-25T16:58:23.533,0.125,-0.805,-0.083,0.614
1619362703538,2021-04-25T16:58:23.538,0.130,-0.804,-0.082,0.615
1619362703543,2021-04-25T16:58:23.543,0.135,-0.809,-0.082,0.615
1619362703548,2021-04-25T16:58:23.548,0.140,-0.811,-0.079,0.617
1619362703553,2021-04-25T16:58:23.553,0.145,-0.813,-0.079,0.617
1619362703558,2021-04-25T16:58:23.558,0.150,-0.813,-0.078,0.618
1619362703563,2021-04-25T16:58:23.563,0.155,-0.813,-0.077,0.615
1619362703568,2021-04-25T16:58:23.568,0.160,-0.811,-0.078,0.617
1619362703573,2021-04-25T16:58:23.573,0.165,-0.811,-0.076,0.613
1619362703578,2021-04-25T16:58:23.578,0.170,-0.812,-0.078,0.614
1619362703583,2021-04-25T16:58:23.583,0.175,-0.811,-0.076,0.617
1619362703588,2021-04-25T16:58:23.588,0.180,-0.811,-0.081,0.615
1619362703593,2021-04-25T16:58:23.593,0.185,-0.810,-0.080,0.612
1619362703598,2021-04-25T16:58:23.598,0.190,-0.809,-0.079,0.612
1619362703603,2021-04-25T16:58:23.603,0.195,-0.811,-0.083,0.611
1619362703608,2021-04-25T16:58:23.608,0.200,-0.806,-0.083,0.606
1619362703613,2021-04-25T16:58:23.613,0.205,-0.812,-0.083,0.612
1619362703618,2021-04-25T16:58:23.618,0.210,-0.814,-0.079,0.614
1619362703623,2021-04-25T16:58:23.623,0.215,-0.812,-0.080,0.612
1619362703628,2021-04-25T16:58:23.628,0.220,-0.815,-0.079,0.611
1619362703633,2021-04-25T16:58:23.633,0.225,-0.813,-0.075,0.614
1619362703638,2021-04-25T16:58:23.638,0.230,-0.813,-0.079,0.611
1619362703643,2021-04-25T16:58:23.643,0.235,-0.813,-0.079,0.613
1619362703648,2021-04-25T16:58:23.648,0.240,-0.811,-0.078,0.611
1619362703653,2021-04-25T16:58:23.653,0.245,-0.814,-0.077,0.609
1619362703658,2021-04-25T16:58:23.658,0.250,-0.815,-0.076,0.610
1619362703663,2021-04-25T16:58:23.663,0.255,-0.815,-0.077,0.610
1619362703668,2021-04-25T16:58:23.668,0.260,-0.814,-0.076,0.614
1619362703673,2021-04-25T16:58:23.673,0.265,-0.814,-0.074,0.614
1619362703678,2021-04-25T16:58:23.678,0.270,-0.813,-0.076,0.613
1619362703683,2021-04-25T16:58:23.683,0.275,-0.813,-0.077,0.610
1619362703688,2021-04-25T16:58:23.688,0.280,-0.812,-0.075,0.608
1619362703693,2021-04-25T16:58:23.693,0.285,-0.812,-0.075,0.609
1619362703698,2021-04-25T16:58:23.698,0.290,-0.810,-0.076,0.605
1619362703703,2021-04-25T16:58:23.703,0.295,-0.811,-0.077,0.605
1619362703708,2021-04-25T16:58:23.708,0.300,-0.815,-0.080,0.605
1619362703713,2021-04-25T16:58:23.713,0.305,-0.813,-0.077,0.605
1619362703718,2021-04-25T16:58:23.718,0.310,-0.809,-0.075,0.601
1619362703723,2021-04-25T16:58:23.723,0.315,-0.810,-0.073,0.604
1619362703728,2021-04-25T16:58:23.728,0.320,-0.810,-0.072,0.602
1619362703733,2021-04-25T16:58:23.733,0.325,-0.814,-0.071,0.601
1619362703738,2021-04-25T16:58:23.738,0.330,-0.812,-0.071,0.601
1619362703743,2021-04-25T16:58:23.743,0.335,-0.811,-0.069,0.601
1619362703748,2021-04-25T16:58:23.748,0.340,-0.809,-0.068,0.598
1619362703753,2021-04-25T16:58:23.753,0.345,-0.809,-0.069,0.594
1619362703758,2021-04-25T16:58:23.758,0.350,-0.809,-0.067,0.595
1619362703763,2021-04-25T16:58:23.763,0.355,-0.810,-0.063,0.595
1619362703768,2021-04-25T16:58:23.768,0.360,-0.807,-0.060,0.596
1619362703773,2021-04-25T16:58:23.773,0.365,-0.809,-0.061,0.598
1619362703778,2021-04-25T16:58:23.778,0.370,-0.812,-0.061,0.598
1619362703783,2021-04-25T16:58:23.783,0.375,-0.812,-0.057,0.590
1619362703788,2021-04-25T16:58:23.788,0.380,-0.808,-0.057,0.593
1619362703793,2021-04-25T16:58:23.793,0.385,-0.813,-0.055,0.589
1619362703798,2021-04-25T16:58:23.798,0.390,-0.815,-0.051,0.587
1619362703803,2021-04-25T16:58:23.803,0.395,-0.816,-0.046,0.592
1619362703808,2021-04-25T16:58:23.808,0.400,-0.817,-0.042,0.595
1619362703813,2021-04-25T16:58:23.813,0.405,-0.814,-0.042,0.586
1619362703818,2021-04-25T16:58:23.818,0.410,-0.813,-0.037,0.583
1619362703823,2021-04-25T16:58:23.823,0.415,-0.813,-0.031,0.587
1619362703828,2021-04-25T16:58:23.828,0.420,-0.815,-0.023,0.583
1619362703833,2021-04-25T16:58:23.833,0.425,-0.813,-0.017,0.588
1619362703838,2021-04-25T16:58:23.838,0.430,-0.810,-0.007,0.585
1619362703843,2021-04-25T16:58:23.843,0.435,-0.809,-0.003,0.590
1619362703848,2021-04-25T16:58:23.848,0.440,-0.810,0.002,0.588
1619362703853,2021-04-25T16:58:23.853,0.445,-0.810,0.007,0.589
1619362703858,2021-04-25T16:58:23.858,0.450,-0.807,0.017,0.595
1619362703863,2021-04-25T16:58:23.863,0.455,-0.805,0.022,0.604
1619362703868,2021-04-25T16:58:23.868,0.460,-0.804,0.027,0.602
1619362703873,2021-04-25T16:58:23.873,0.465,-0.804,0.033,0.601
1619362703878,2021-04-25T16:58:23.878,0.470,-0.801,0.046,0.603
1619362703883,2021-04-25T16:58:23.883,0.475,-0.798,0.061,0.608
1619362703888,2021-04-25T16:58:23.888,0.480,-0.799,0.069,0.609
1619362703893,2021-04-25T16:58:23.893,0.485,-0.797,0.077,0.610
1619362703898,2021-04-25T16:58:23.898,0.490,-0.796,0.084,0.611
1619362703903,2021-04-25T16:58:23.903,0.495,-0.797,0.091,0.610
1619362703918,2021-04-25T16:58:23.918,0.510,-0.791,0.139,0.621
1619362703923,2021-04-25T16:58:23.923,0.515,-0.790,0.147,0.619
1619362703928,2021-04-25T16:58:23.928,0.520,-0.787,0.155,0.625
1619362703933,2021-04-25T16:58:23.933,0.525,-0.786,0.162,0.626
1619362703948,2021-04-25T16:58:23.948,0.540,-0.781,0.198,0.633
1619362703953,2021-04-25T16:58:23.953,0.545,-0.781,0.203,0.633
1619362703958,2021-04-25T16:58:23.958,0.550,-0.777,0.207,0.629
1619362703963,2021-04-25T16:58:23.963,0.555,-0.776,0.207,0.628
1619362703973,2021-04-25T16:58:23.973,0.565,-0.777,0.216,0.632
1619362703978,2021-04-25T16:58:23.978,0.570,-0.776,0.217,0.624
1619362703983,2021-04-25T16:58:23.983,0.575,-0.777,0.220,0.624
1619362703988,2021-04-25T16:58:23.988,0.580,-0.778,0.225,0.622
1619362703993,2021-04-25T16:58:23.993,0.585,-0.778,0.229,0.624
1619362703998,2021-04-25T16:58:23.998,0.590,-0.776,0.228,0.626
1619362704003,2021-04-25T16:58:24.003,0.595,-0.774,0.232,0.627
1619362704008,2021-04-25T16:58:24.008,0.600,-0.775,0.235,0.625
1619362704018,2021-04-25T16:58:24.018,0.610,-0.775,0.243,0.621
