epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1590567558875,2020-05-27T10:19:18.875,0.000,-0.932,-0.163,0.345
1590567558880,2020-05-27T10:19:18.880,0.005,-0.939,-0.167,0.352
1590567558885,2020-05-27T10:19:18.885,0.010,-0.938,-0.168,0.349
1590567558890,2020-05-27T10:19:18.890,0.015,-0.942,-0.167,0.350
1590567558895,2020-05-27T10:19:18.895,0.020,-0.943,-0.164,0.344
1590567558900,2020-05-27T10:19:18.900,0.025,-0.942,-0.167,0.340
1590567558905,2020-05-27T10:19:18.905,0.030,-0.941,-0.163,0.339
1590567558910,2020-05-27T10:19:18.910,0.035,-0.942,-0.162,0.332
1590567558915,2020-05-27T10:19:18.915,0.040,-0.942,-0.161,0.323
1590567558920,2020-05-27T10:19:18.920,0.045,-0.941,-0.162,0.325
1590567558925,2020-05-27T10:19:18.925,0.050,-0.940,-0.160,0.325
1590567558930,2020-05-27T10:19:18.930,0.055,-0.938,-0.157,0.325
1590567558935,2020-05-27T10:19:18.935,0.060,-0.936,-0.159,0.328
1590567558940,2020-05-27T10:19:18.940,0.065,-0.939,-0.160,0.334
1590567558945,2020-05-27T10:19:18.945,0.070,-0.940,-0.162,0.331
1590567558950,2020-05-27T10:19:18.950,0.075,-0.946,-0.161,0.336
1590567558955,2020-05-27T10:19:18.955,0.080,-0.947,-0.164,0.344
1590567558960,2020-05-27T10:19:18.960,0.085,-0.944,-0.167,0.343
1590567558965,2020-05-27T10:19:18.965,0.090,-0.945,-0.166,0.342
1590567558970,2020-05-27T10:19:18.970,0.095,-0.946,-0.168,0.340
1590567558975,2020-05-27T10:19:18.975,0.100,-0.942,-0.169,0.343
1590567558980,2020-05-27T10:19:18.980,0.105,-0.938,-0.168,0.346
1590567558985,2020-05-27T10:19:18.985,0.110,-0.939,-0.169,0.344
1590567558990,2020-05-27T10:19:18.990,0.115,-0.939,-0.167,0.339
1590567558995,2020-05-27T10:19:18.995,0.120,-0.938,-0.165,0.342
1590567559000,2020-05-27T10:19:19.000,0.125,-0.934,-0.165,0.341
1590567559005,2020-05-27T10:19:19.005,0.130,-0.939,-0.166,0.339
1590567559010,2020-05-27T10:19:19.010,0.135,-0.937,-0.161,0.347
1590567559015,2020-05-27T10:19:19.015,0.140,-0.935,-0.161,0.342
1590567559020,2020-05-27T10:19:19.020,0.145,-0.935,-0.162,0.335
