epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1619362815820,2021-04-25T17:00:15.820,0.000,-0.871,-0.133,0.477
1619362815825,2021-04-25T17:00:15.825,0.005,-0.881,-0.133,0.479
1619362815830,2021-04-25T17:00:15.830,0.010,-0.878,-0.130,0.480
1619362815835,2021-04-25T17:00:15.835,0.015,-0.880,-0.126,0.486
1619362815840,2021-04-25T17:00:15.840,0.020,-0.882,-0.126,0.483
1619362815845,2021-04-25T17:00:15.845,0.025,-0.883,-0.122,0.483
1619362815850,2021-04-25T17:00:15.850,0.030,-0.880,-0.123,0.479
1619362815855,2021-04-25T17:00:15.855,0.035,-0.884,-0.123,0.481
1619362815860,2021-04-25T17:00:15.860,0.040,-0.883,-0.123,0.482
1619362815865,2021-04-25T17:00:15.865,0.045,-0.884,-0.123,0.483
1619362815870,2021-04-25T17:00:15.870,0.050,-0.884,-0.126,0.476
1619362815875,2021-04-25T17:00:15.875,0.055,-0.884,-0.125,0.474
1619362815880,2021-04-25T17:00:15.880,0.060,-0.884,-0.123,0.482
1619362815885,2021-04-25T17:00:15.885,0.065,-0.881,-0.122,0.479
1619362815890,2021-04-25T17:00:15.890,0.070,-0.882,-0.123,0.479
1619362815895,2021-04-25T17:00:15.895,0.075,-0.883,-0.121,0.480
1619362815900,2021-04-25T17:00:15.900,0.080,-0.883,-0.126,0.479
1619362815905,2021-04-25T17:00:15.905,0.085,-0.885,-0.125,0.481
1619362815910,2021-04-25T17:00:15.910,0.090,-0.884,-0.123,0.479
1619362815915,2021-04-25T17:00:15.915,0.095,-0.885,-0.127,0.478
1619362815920,2021-04-25T17:00:15.920,0.100,-0.883,-0.128,0.475
1619362815925,2021-04-25T17:00:15.925,0.105,-0.885,-0.128,0.478
1619362815930,2021-04-25T17:00:15.930,0.110,-0.883,-0.131,0.476
1619362815935,2021-04-25T17:00:15.935,0.115,-0.883,-0.129,0.475
1619362815940,2021-04-25T17:00:15.940,0.120,-0.883,-0.128,0.473
1619362815945,2021-04-25T17:00:15.945,0.125,-0.884,-0.129,0.472
1619362815950,2021-04-25T17:00:15.950,0.130,-0.886,-0.127,0.474
1619362815955,2021-04-25T17:00:15.955,0.135,-0.883,-0.125,0.469
1619362815960,2021-04-25T17:00:15.960,0.140,-0.887,-0.126,0.469
1619362815965,2021-04-25T17:00:15.965,0.145,-0.886,-0.129,0.472
1619362815970,2021-04-25T17:00:15.970,0.150,-0.883,-0.129,0.470
1619362815975,2021-04-25T17:00:15.975,0.155,-0.887,-0.127,0.477
1619362815980,2021-04-25T17:00:15.980,0.160,-0.889,-0.128,0.473
1619362815985,2021-04-25T17:00:15.985,0.165,-0.883,-0.130,0.473
1619362815990,2021-04-25T17:00:15.990,0.170,-0.884,-0.130,0.472
1619362815995,2021-04-25T17:00:15.995,0.175,-0.886,-0.133,0.470
1619362816000,2021-04-25T17:00:16.000,0.180,-0.887,-0.129,0.470
1619362816005,2021-04-25T17:00:16.005,0.185,-0.886,-0.129,0.467
1619362816010,2021-04-25T17:00:16.010,0.190,-0.884,-0.132,0.471
1619362816015,2021-04-25T17:00:16.015,0.195,-0.885,-0.129,0.471
1619362816020,2021-04-25T17:00:16.020,0.200,-0.885,-0.127,0.471
1619362816025,2021-04-25T17:00:16.025,0.205,-0.888,-0.130,0.469
1619362816030,2021-04-25T17:00:16.030,0.210,-0.886,-0.130,0.468
1619362816035,2021-04-25T17:00:16.035,0.215,-0.889,-0.128,0.469
1619362816040,2021-04-25T17:00:16.040,0.220,-0.886,-0.130,0.471
1619362816045,2021-04-25T17:00:16.045,0.225,-0.885,-0.127,0.469
1619362816050,2021-04-25T17:00:16.050,0.230,-0.890,-0.128,0.468
1619362816055,2021-04-25T17:00:16.055,0.235,-0.888,-0.129,0.466
1619362816060,2021-04-25T17:00:16.060,0.240,-0.885,-0.133,0.466
1619362816065,2021-04-25T17:00:16.065,0.245,-0.885,-0.130,0.468
1619362816070,2021-04-25T17:00:16.070,0.250,-0.881,-0.132,0.471
1619362816075,2021-04-25T17:00:16.075,0.255,-0.889,-0.130,0.465
1619362816080,2021-04-25T17:00:16.080,0.260,-0.888,-0.131,0.469
1619362816085,2021-04-25T17:00:16.085,0.265,-0.887,-0.132,0.470
1619362816090,2021-04-25T17:00:16.090,0.270,-0.885,-0.132,0.469
1619362816095,2021-04-25T17:00:16.095,0.275,-0.886,-0.134,0.472
1619362816100,2021-04-25T17:00:16.100,0.280,-0.882,-0.132,0.469
1619362816105,2021-04-25T17:00:16.105,0.285,-0.882,-0.135,0.471
1619362816110,2021-04-25T17:00:16.110,0.290,-0.884,-0.134,0.470
1619362816115,2021-04-25T17:00:16.115,0.295,-0.884,-0.130,0.468
1619362816120,2021-04-25T17:00:16.120,0.300,-0.882,-0.130,0.466
1619362816125,2021-04-25T17:00:16.125,0.305,-0.883,-0.132,0.468
1619362816130,2021-04-25T17:00:16.130,0.310,-0.884,-0.132,0.468
1619362816135,2021-04-25T17:00:16.135,0.315,-0.883,-0.131,0.461
1619362816140,2021-04-25T17:00:16.140,0.320,-0.882,-0.132,0.460
1619362816145,2021-04-25T17:00:16.145,0.325,-0.886,-0.127,0.465
1619362816150,2021-04-25T17:00:16.150,0.330,-0.886,-0.128,0.464
1619362816155,2021-04-25T17:00:16.155,0.335,-0.883,-0.132,0.463
1619362816160,2021-04-25T17:00:16.160,0.340,-0.884,-0.132,0.463
1619362816165,2021-04-25T17:00:16.165,0.345,-0.883,-0.131,0.465
1619362816170,2021-04-25T17:00:16.170,0.350,-0.879,-0.135,0.465
1619362816175,2021-04-25T17:00:16.175,0.355,-0.879,-0.136,0.464
1619362816195,2021-04-25T17:00:16.195,0.375,-0.876,-0.134,0.463
1619362816200,2021-04-25T17:00:16.200,0.380,-0.877,-0.139,0.466
1619362816215,2021-04-25T17:00:16.215,0.395,-0.885,-0.127,0.439
1619362816220,2021-04-25T17:00:16.220,0.400,-0.891,-0.130,0.433
1619362816230,2021-04-25T17:00:16.230,0.410,-0.877,-0.118,0.469
1619362816235,2021-04-25T17:00:16.235,0.415,-0.871,-0.116,0.478
1619362816240,2021-04-25T17:00:16.240,0.420,-0.865,-0.120,0.476
1619362816245,2021-04-25T17:00:16.245,0.425,-0.868,-0.125,0.462
1619362816255,2021-04-25T17:00:16.255,0.435,-0.899,-0.129,0.467
1619362816260,2021-04-25T17:00:16.260,0.440,-0.904,-0.122,0.475
1619362816270,2021-04-25T17:00:16.270,0.450,-0.902,-0.113,0.457
1619362816275,2021-04-25T17:00:16.275,0.455,-0.899,-0.121,0.446
1619362816280,2021-04-25T17:00:16.280,0.460,-0.890,-0.126,0.439
1619362816285,2021-04-25T17:00:16.285,0.465,-0.891,-0.121,0.438
