epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1590568131042,2020-05-27T10:28:51.042,0.000,-0.798,-0.101,0.617
1590568131047,2020-05-27T10:28:51.047,0.005,-0.802,-0.105,0.625
1590568131052,2020-05-27T10:28:51.052,0.010,-0.798,-0.104,0.628
1590568131057,2020-05-27T10:28:51.057,0.015,-0.799,-0.106,0.626
1590568131062,2020-05-27T10:28:51.062,0.020,-0.798,-0.106,0.627
1590568131067,2020-05-27T10:28:51.067,0.025,-0.793,-0.104,0.625
1590568131072,2020-05-27T10:28:51.072,0.030,-0.797,-0.101,0.627
1590568131077,2020-05-27T10:28:51.077,0.035,-0.798,-0.099,0.625
1590568131082,2020-05-27T10:28:51.082,0.040,-0.799,-0.091,0.624
1590568131087,2020-05-27T10:28:51.087,0.045,-0.800,-0.085,0.624
1590568131092,2020-05-27T10:28:51.092,0.050,-0.800,-0.082,0.619
1590568131097,2020-05-27T10:28:51.097,0.055,-0.799,-0.081,0.607
1590568131102,2020-05-27T10:28:51.102,0.060,-0.798,-0.080,0.604
1590568131107,2020-05-27T10:28:51.107,0.065,-0.795,-0.083,0.606
1590568131112,2020-05-27T10:28:51.112,0.070,-0.792,-0.091,0.610
1590568131117,2020-05-27T10:28:51.117,0.075,-0.798,-0.094,0.615
1590568131122,2020-05-27T10:28:51.122,0.080,-0.802,-0.093,0.608
1590568131127,2020-05-27T10:28:51.127,0.085,-0.806,-0.096,0.614
1590568131132,2020-05-27T10:28:51.132,0.090,-0.813,-0.094,0.613
1590568131137,2020-05-27T10:28:51.137,0.095,-0.811,-0.095,0.616
1590568131142,2020-05-27T10:28:51.142,0.100,-0.808,-0.096,0.621
1590568131147,2020-05-27T10:28:51.147,0.105,-0.807,-0.098,0.623
1590568131152,2020-05-27T10:28:51.152,0.110,-0.807,-0.099,0.619
1590568131157,2020-05-27T10:28:51.157,0.115,-0.809,-0.098,0.617
1590568131162,2020-05-27T10:28:51.162,0.120,-0.807,-0.103,0.610
1590568131167,2020-05-27T10:28:51.167,0.125,-0.802,-0.103,0.613
