epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1590568016547,2020-05-27T10:26:56.547,0.000,-0.842,-0.072,0.543
1590568016552,2020-05-27T10:26:56.552,0.005,-0.851,-0.071,0.542
1590568016557,2020-05-27T10:26:56.557,0.010,-0.853,-0.074,0.537
1590568016562,2020-05-27T10:26:56.562,0.015,-0.853,-0.080,0.536
1590568016567,2020-05-27T10:26:56.567,0.020,-0.859,-0.086,0.536
1590568016572,2020-05-27T10:26:56.572,0.025,-0.864,-0.091,0.533
1590568016577,2020-05-27T10:26:56.577,0.030,-0.860,-0.093,0.526
1590568016582,2020-05-27T10:26:56.582,0.035,-0.856,-0.093,0.526
1590568016587,2020-05-27T10:26:56.587,0.040,-0.857,-0.100,0.527
1590568016592,2020-05-27T10:26:56.592,0.045,-0.855,-0.103,0.528
1590568016597,2020-05-27T10:26:56.597,0.050,-0.851,-0.104,0.530
1590568016602,2020-05-27T10:26:56.602,0.055,-0.854,-0.098,0.530
1590568016607,2020-05-27T10:26:56.607,0.060,-0.858,-0.090,0.531
1590568016612,2020-05-27T10:26:56.612,0.065,-0.861,-0.083,0.534
1590568016617,2020-05-27T10:26:56.617,0.070,-0.865,-0.078,0.538
1590568016622,2020-05-27T10:26:56.622,0.075,-0.862,-0.077,0.542
1590568016627,2020-05-27T10:26:56.627,0.080,-0.858,-0.077,0.546
1590568016632,2020-05-27T10:26:56.632,0.085,-0.858,-0.082,0.549
1590568016637,2020-05-27T10:26:56.637,0.090,-0.862,-0.084,0.548
1590568016642,2020-05-27T10:26:56.642,0.095,-0.867,-0.083,0.547
1590568016647,2020-05-27T10:26:56.647,0.100,-0.867,-0.084,0.547
1590568016652,2020-05-27T10:26:56.652,0.105,-0.864,-0.086,0.548
1590568016657,2020-05-27T10:26:56.657,0.110,-0.868,-0.083,0.544
1590568016662,2020-05-27T10:26:56.662,0.115,-0.867,-0.082,0.543
1590568016667,2020-05-27T10:26:56.667,0.120,-0.859,-0.075,0.541
1590568016672,2020-05-27T10:26:56.672,0.125,-0.861,-0.073,0.541
1590568016677,2020-05-27T10:26:56.677,0.130,-0.859,-0.072,0.543
1590568016682,2020-05-27T10:26:56.682,0.135,-0.860,-0.076,0.543
1590568016687,2020-05-27T10:26:56.687,0.140,-0.857,-0.072,0.545
1590568016692,2020-05-27T10:26:56.692,0.145,-0.860,-0.075,0.550
1590568016697,2020-05-27T10:26:56.697,0.150,-0.861,-0.076,0.548
1590568016702,2020-05-27T10:26:56.702,0.155,-0.864,-0.076,0.548
1590568016707,2020-05-27T10:26:56.707,0.160,-0.870,-0.079,0.545
1590568016712,2020-05-27T10:26:56.712,0.165,-0.869,-0.082,0.542
1590568016717,2020-05-27T10:26:56.717,0.170,-0.865,-0.077,0.536
1590568016722,2020-05-27T10:26:56.722,0.175,-0.861,-0.075,0.533
1590568016727,2020-05-27T10:26:56.727,0.180,-0.855,-0.079,0.527
1590568016732,2020-05-27T10:26:56.732,0.185,-0.857,-0.086,0.527
1590568016737,2020-05-27T10:26:56.737,0.190,-0.856,-0.089,0.525
1590568016742,2020-05-27T10:26:56.742,0.195,-0.849,-0.090,0.526
1590568016747,2020-05-27T10:26:56.747,0.200,-0.846,-0.091,0.528
1590568016752,2020-05-27T10:26:56.752,0.205,-0.846,-0.097,0.532
1590568016757,2020-05-27T10:26:56.757,0.210,-0.845,-0.092,0.536
1590568016762,2020-05-27T10:26:56.762,0.215,-0.846,-0.094,0.535
1590568016767,2020-05-27T10:26:56.767,0.220,-0.852,-0.096,0.537
1590568016772,2020-05-27T10:26:56.772,0.225,-0.853,-0.100,0.535
1590568016777,2020-05-27T10:26:56.777,0.230,-0.855,-0.098,0.535
1590568016782,2020-05-27T10:26:56.782,0.235,-0.857,-0.100,0.531
1590568016787,2020-05-27T10:26:56.787,0.240,-0.859,-0.107,0.526
1590568016792,2020-05-27T10:26:56.792,0.245,-0.865,-0.109,0.523
1590568016797,2020-05-27T10:26:56.797,0.250,-0.865,-0.112,0.524
1590568016802,2020-05-27T10:26:56.802,0.255,-0.864,-0.119,0.521
1590568016807,2020-05-27T10:26:56.807,0.260,-0.861,-0.123,0.525
1590568016812,2020-05-27T10:26:56.812,0.265,-0.863,-0.131,0.525
1590568016817,2020-05-27T10:26:56.817,0.270,-0.867,-0.136,0.528
1590568016822,2020-05-27T10:26:56.822,0.275,-0.871,-0.144,0.525
1590568016827,2020-05-27T10:26:56.827,0.280,-0.874,-0.147,0.521
1590568016832,2020-05-27T10:26:56.832,0.285,-0.872,-0.148,0.523
1590568016837,2020-05-27T10:26:56.837,0.290,-0.871,-0.143,0.524
1590568016842,2020-05-27T10:26:56.842,0.295,-0.866,-0.137,0.530
1590568016847,2020-05-27T10:26:56.847,0.300,-0.863,-0.134,0.530
1590568016852,2020-05-27T10:26:56.852,0.305,-0.861,-0.127,0.535
1590568016857,2020-05-27T10:26:56.857,0.310,-0.860,-0.122,0.531
1590568016862,2020-05-27T10:26:56.862,0.315,-0.858,-0.116,0.534
1590568016867,2020-05-27T10:26:56.867,0.320,-0.859,-0.109,0.529
1590568016872,2020-05-27T10:26:56.872,0.325,-0.866,-0.105,0.528
