epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1590567723571,2020-05-27T10:22:03.571,0.000,-0.262,0.043,0.966
1590567723576,2020-05-27T10:22:03.576,0.005,-0.263,0.018,0.991
1590567723581,2020-05-27T10:22:03.581,0.010,-0.261,-0.001,1.004
1590567723586,2020-05-27T10:22:03.586,0.015,-0.268,-0.006,1.028
1590567723591,2020-05-27T10:22:03.591,0.020,-0.273,0.005,1.052
1590567723596,2020-05-27T10:22:03.596,0.025,-0.269,0.023,1.058
1590567723601,2020-05-27T10:22:03.601,0.030,-0.270,0.042,1.040
1590567723606,2020-05-27T10:22:03.606,0.035,-0.274,0.067,1.022
1590567723611,2020-05-27T10:22:03.611,0.040,-0.275,0.097,1.016
1590567723616,2020-05-27T10:22:03.616,0.045,-0.275,0.126,1.015
1590567723621,2020-05-27T10:22:03.621,0.050,-0.272,0.149,1.011
1590567723626,2020-05-27T10:22:03.626,0.055,-0.267,0.180,1.007
1590567723631,2020-05-27T10:22:03.631,0.060,-0.264,0.211,0.993
1590567723636,2020-05-27T10:22:03.636,0.065,-0.242,0.229,0.983
1590567723641,2020-05-27T10:22:03.641,0.070,-0.222,0.233,0.971
1590567723646,2020-05-27T10:22:03.646,0.075,-0.216,0.223,0.958
1590567723651,2020-05-27T10:22:03.651,0.080,-0.210,0.202,0.943
1590567723656,2020-05-27T10:22:03.656,0.085,-0.206,0.168,0.937
1590567723661,2020-05-27T10:22:03.661,0.090,-0.206,0.136,0.956
1590567723666,2020-05-27T10:22:03.666,0.095,-0.199,0.106,0.978
1590567723671,2020-05-27T10:22:03.671,0.100,-0.200,0.082,0.999
1590567723676,2020-05-27T10:22:03.676,0.105,-0.200,0.070,1.011
1590567723681,2020-05-27T10:22:03.681,0.110,-0.201,0.051,1.017
1590567723686,2020-05-27T10:22:03.686,0.115,-0.211,0.040,1.023
1590567723691,2020-05-27T10:22:03.691,0.120,-0.217,0.041,1.047
1590567723696,2020-05-27T10:22:03.696,0.125,-0.215,0.039,1.059
1590567723701,2020-05-27T10:22:03.701,0.130,-0.208,0.040,1.060
1590567723706,2020-05-27T10:22:03.706,0.135,-0.211,0.042,1.060
1590567723711,2020-05-27T10:22:03.711,0.140,-0.213,0.054,1.061
1590567723716,2020-05-27T10:22:03.716,0.145,-0.208,0.073,1.057
1590567723721,2020-05-27T10:22:03.721,0.150,-0.196,0.089,1.041
1590567723726,2020-05-27T10:22:03.726,0.155,-0.191,0.110,1.029
1590567723731,2020-05-27T10:22:03.731,0.160,-0.198,0.133,1.024
1590567723736,2020-05-27T10:22:03.736,0.165,-0.204,0.135,1.018
1590567723741,2020-05-27T10:22:03.741,0.170,-0.210,0.131,1.008
