epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1619363007689,2021-04-25T17:03:27.689,0.000,-0.764,0.556,-0.132
1619363007694,2021-04-25T17:03:27.694,0.005,-0.763,0.555,-0.129
1619363007699,2021-04-25T17:03:27.699,0.010,-0.755,0.542,-0.131
1619363007704,2021-04-25T17:03:27.704,0.015,-0.757,0.528,-0.139
1619363007709,2021-04-25T17:03:27.709,0.020,-0.753,0.524,-0.145
1619363007714,2021-04-25T17:03:27.714,0.025,-0.750,0.529,-0.147
1619363007719,2021-04-25T17:03:27.719,0.030,-0.759,0.534,-0.144
1619363007724,2021-04-25T17:03:27.724,0.035,-0.778,0.519,-0.151
1619363007729,2021-04-25T17:03:27.729,0.040,-0.796,0.500,-0.167
1619363007734,2021-04-25T17:03:27.734,0.045,-0.802,0.485,-0.179
1619363007739,2021-04-25T17:03:27.739,0.050,-0.789,0.473,-0.192
1619363007744,2021-04-25T17:03:27.744,0.055,-0.763,0.478,-0.190
1619363007749,2021-04-25T17:03:27.749,0.060,-0.747,0.473,-0.193
1619363007754,2021-04-25T17:03:27.754,0.065,-0.754,0.475,-0.197
1619363007759,2021-04-25T17:03:27.759,0.070,-0.780,0.503,-0.175
1619363007764,2021-04-25T17:03:27.764,0.075,-0.822,0.531,-0.173
1619363007769,2021-04-25T17:03:27.769,0.080,-0.847,0.583,-0.185
1619363007774,2021-04-25T17:03:27.774,0.085,-0.840,0.577,-0.131
1619363007779,2021-04-25T17:03:27.779,0.090,-0.836,0.580,-0.075
1619363007784,2021-04-25T17:03:27.784,0.095,-0.835,0.581,-0.041
1619363007789,2021-04-25T17:03:27.789,0.100,-0.815,0.585,-0.068
1619363007794,2021-04-25T17:03:27.794,0.105,-0.796,0.605,-0.125
1619363007799,2021-04-25T17:03:27.799,0.110,-0.779,0.592,-0.155
1619363007804,2021-04-25T17:03:27.804,0.115,-0.762,0.570,-0.175
1619363007809,2021-04-25T17:03:27.809,0.120,-0.749,0.549,-0.194
1619363007814,2021-04-25T17:03:27.814,0.125,-0.743,0.521,-0.202
1619363007819,2021-04-25T17:03:27.819,0.130,-0.747,0.504,-0.199
1619363007824,2021-04-25T17:03:27.824,0.135,-0.755,0.498,-0.188
1619363007829,2021-04-25T17:03:27.829,0.140,-0.769,0.496,-0.181
1619363007834,2021-04-25T17:03:27.834,0.145,-0.780,0.505,-0.176
1619363007839,2021-04-25T17:03:27.839,0.150,-0.782,0.511,-0.177
1619363007844,2021-04-25T17:03:27.844,0.155,-0.783,0.522,-0.178
1619363007849,2021-04-25T17:03:27.849,0.160,-0.781,0.530,-0.176
1619363007854,2021-04-25T17:03:27.854,0.165,-0.774,0.537,-0.178
1619363007859,2021-04-25T17:03:27.859,0.170,-0.773,0.539,-0.186
1619363007864,2021-04-25T17:03:27.864,0.175,-0.776,0.543,-0.187
1619363007869,2021-04-25T17:03:27.869,0.180,-0.771,0.537,-0.185
1619363007874,2021-04-25T17:03:27.874,0.185,-0.771,0.531,-0.187
1619363007879,2021-04-25T17:03:27.879,0.190,-0.770,0.532,-0.189
1619363007884,2021-04-25T17:03:27.884,0.195,-0.767,0.532,-0.186
1619363007889,2021-04-25T17:03:27.889,0.200,-0.762,0.533,-0.188
1619363007894,2021-04-25T17:03:27.894,0.205,-0.761,0.531,-0.192
1619363007899,2021-04-25T17:03:27.899,0.210,-0.760,0.531,-0.199
1619363007904,2021-04-25T17:03:27.904,0.215,-0.759,0.530,-0.206
1619363007909,2021-04-25T17:03:27.909,0.220,-0.761,0.530,-0.213
1619363007914,2021-04-25T17:03:27.914,0.225,-0.765,0.532,-0.219
1619363007919,2021-04-25T17:03:27.919,0.230,-0.765,0.534,-0.226
1619363007924,2021-04-25T17:03:27.924,0.235,-0.770,0.534,-0.239
1619363007929,2021-04-25T17:03:27.929,0.240,-0.773,0.538,-0.248
1619363007934,2021-04-25T17:03:27.934,0.245,-0.781,0.548,-0.257
1619363007939,2021-04-25T17:03:27.939,0.250,-0.788,0.550,-0.262
1619363007944,2021-04-25T17:03:27.944,0.255,-0.790,0.551,-0.258
1619363007954,2021-04-25T17:03:27.954,0.265,-0.792,0.548,-0.252
1619363007959,2021-04-25T17:03:27.959,0.270,-0.788,0.540,-0.250
1619363008009,2021-04-25T17:03:28.009,0.320,-0.753,0.556,-0.295
1619363008014,2021-04-25T17:03:28.014,0.325,-0.755,0.557,-0.296
1619363008019,2021-04-25T17:03:28.019,0.330,-0.759,0.559,-0.301
1619363008024,2021-04-25T17:03:28.024,0.335,-0.759,0.563,-0.298
1619363008049,2021-04-25T17:03:28.049,0.360,-0.756,0.589,-0.304
1619363008054,2021-04-25T17:03:28.054,0.365,-0.759,0.589,-0.302
1619363008059,2021-04-25T17:03:28.059,0.370,-0.754,0.583,-0.303
1619363008064,2021-04-25T17:03:28.064,0.375,-0.750,0.580,-0.307
1619363008069,2021-04-25T17:03:28.069,0.380,-0.755,0.577,-0.311
1619363008074,2021-04-25T17:03:28.074,0.385,-0.758,0.577,-0.315
1619363008079,2021-04-25T17:03:28.079,0.390,-0.757,0.570,-0.316
1619363008084,2021-04-25T17:03:28.084,0.395,-0.763,0.566,-0.319
1619363008109,2021-04-25T17:03:28.109,0.420,-0.738,0.565,-0.337
1619363008114,2021-04-25T17:03:28.114,0.425,-0.739,0.564,-0.338
1619363008119,2021-04-25T17:03:28.119,0.430,-0.739,0.564,-0.337
1619363008124,2021-04-25T17:03:28.124,0.435,-0.745,0.571,-0.340
1619363008139,2021-04-25T17:03:28.139,0.450,-0.748,0.573,-0.333
1619363008144,2021-04-25T17:03:28.144,0.455,-0.739,0.574,-0.335
1619363008154,2021-04-25T17:03:28.154,0.465,-0.730,0.563,-0.336
1619363008159,2021-04-25T17:03:28.159,0.470,-0.730,0.567,-0.338
1619363008169,2021-04-25T17:03:28.169,0.480,-0.726,0.563,-0.347
1619363008174,2021-04-25T17:03:28.174,0.485,-0.731,0.564,-0.347
1619363008184,2021-04-25T17:03:28.184,0.495,-0.739,0.585,-0.349
1619363008189,2021-04-25T17:03:28.189,0.500,-0.742,0.597,-0.346
1619363008199,2021-04-25T17:03:28.199,0.510,-0.738,0.594,-0.355
1619363008204,2021-04-25T17:03:28.204,0.515,-0.737,0.589,-0.360
1619363008209,2021-04-25T17:03:28.209,0.520,-0.733,0.591,-0.348
1619363008214,2021-04-25T17:03:28.214,0.525,-0.726,0.580,-0.349
1619363008229,2021-04-25T17:03:28.229,0.540,-0.724,0.563,-0.347
1619363008234,2021-04-25T17:03:28.234,0.545,-0.725,0.564,-0.349
1619363008239,2021-04-25T17:03:28.239,0.550,-0.727,0.562,-0.344
1619363008244,2021-04-25T17:03:28.244,0.555,-0.723,0.556,-0.346
1619363008259,2021-04-25T17:03:28.259,0.570,-0.716,0.582,-0.348
1619363008264,2021-04-25T17:03:28.264,0.575,-0.713,0.572,-0.344
1619363008269,2021-04-25T17:03:28.269,0.580,-0.720,0.580,-0.354
1619363008274,2021-04-25T17:03:28.274,0.585,-0.726,0.590,-0.357
1619363008279,2021-04-25T17:03:28.279,0.590,-0.730,0.585,-0.351
1619363008284,2021-04-25T17:03:28.284,0.595,-0.730,0.584,-0.347
1619363008294,2021-04-25T17:03:28.294,0.605,-0.723,0.592,-0.346
1619363008299,2021-04-25T17:03:28.299,0.610,-0.720,0.581,-0.349
1619363008314,2021-04-25T17:03:28.314,0.625,-0.714,0.582,-0.342
1619363008319,2021-04-25T17:03:28.319,0.630,-0.711,0.577,-0.338
1619363008329,2021-04-25T17:03:28.329,0.640,-0.711,0.576,-0.342
1619363008334,2021-04-25T17:03:28.334,0.645,-0.708,0.590,-0.348
