epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1590567416332,2020-05-27T10:16:56.332,0.000,-0.818,-0.156,0.572
1590567416337,2020-05-27T10:16:56.337,0.005,-0.826,-0.158,0.577
1590567416342,2020-05-27T10:16:56.342,0.010,-0.824,-0.159,0.576
1590567416347,2020-05-27T10:16:56.347,0.015,-0.825,-0.160,0.570
1590567416352,2020-05-27T10:16:56.352,0.020,-0.823,-0.157,0.573
1590567416357,2020-05-27T10:16:56.357,0.025,-0.823,-0.160,0.573
1590567416362,2020-05-27T10:16:56.362,0.030,-0.827,-0.161,0.574
1590567416367,2020-05-27T10:16:56.367,0.035,-0.824,-0.159,0.572
1590567416372,2020-05-27T10:16:56.372,0.040,-0.824,-0.161,0.571
1590567416377,2020-05-27T10:16:56.377,0.045,-0.822,-0.159,0.568
1590567416382,2020-05-27T10:16:56.382,0.050,-0.826,-0.162,0.566
1590567416387,2020-05-27T10:16:56.387,0.055,-0.826,-0.164,0.569
1590567416392,2020-05-27T10:16:56.392,0.060,-0.821,-0.162,0.572
1590567416397,2020-05-27T10:16:56.397,0.065,-0.823,-0.165,0.573
1590567416402,2020-05-27T10:16:56.402,0.070,-0.823,-0.160,0.573
1590567416407,2020-05-27T10:16:56.407,0.075,-0.825,-0.162,0.576
1590567416412,2020-05-27T10:16:56.412,0.080,-0.823,-0.165,0.574
1590567416417,2020-05-27T10:16:56.417,0.085,-0.822,-0.163,0.571
1590567416422,2020-05-27T10:16:56.422,0.090,-0.820,-0.161,0.574
1590567416427,2020-05-27T10:16:56.427,0.095,-0.819,-0.160,0.572
1590567416432,2020-05-27T10:16:56.432,0.100,-0.822,-0.157,0.569
1590567416437,2020-05-27T10:16:56.437,0.105,-0.824,-0.158,0.569
1590567416442,2020-05-27T10:16:56.442,0.110,-0.824,-0.161,0.572
1590567416447,2020-05-27T10:16:56.447,0.115,-0.826,-0.161,0.572
1590567416452,2020-05-27T10:16:56.452,0.120,-0.826,-0.160,0.572
1590567416457,2020-05-27T10:16:56.457,0.125,-0.827,-0.162,0.575
1590567416462,2020-05-27T10:16:56.462,0.130,-0.826,-0.162,0.576
1590567416467,2020-05-27T10:16:56.467,0.135,-0.826,-0.164,0.574
1590567416472,2020-05-27T10:16:56.472,0.140,-0.828,-0.163,0.575
1590567416477,2020-05-27T10:16:56.477,0.145,-0.829,-0.164,0.574
1590567416482,2020-05-27T10:16:56.482,0.150,-0.821,-0.167,0.576
1590567416487,2020-05-27T10:16:56.487,0.155,-0.822,-0.165,0.575
1590567416492,2020-05-27T10:16:56.492,0.160,-0.824,-0.164,0.572
1590567416497,2020-05-27T10:16:56.497,0.165,-0.825,-0.161,0.571
1590567416502,2020-05-27T10:16:56.502,0.170,-0.826,-0.163,0.575
1590567416507,2020-05-27T10:16:56.507,0.175,-0.824,-0.162,0.571
1590567416512,2020-05-27T10:16:56.512,0.180,-0.827,-0.161,0.570
1590567416517,2020-05-27T10:16:56.517,0.185,-0.823,-0.165,0.572
1590567416522,2020-05-27T10:16:56.522,0.190,-0.822,-0.164,0.575
1590567416527,2020-05-27T10:16:56.527,0.195,-0.824,-0.163,0.575
1590567416532,2020-05-27T10:16:56.532,0.200,-0.823,-0.163,0.574
1590567416537,2020-05-27T10:16:56.537,0.205,-0.823,-0.157,0.571
1590567416542,2020-05-27T10:16:56.542,0.210,-0.825,-0.160,0.572
1590567416547,2020-05-27T10:16:56.547,0.215,-0.824,-0.162,0.573
1590567416552,2020-05-27T10:16:56.552,0.220,-0.822,-0.159,0.571
1590567416557,2020-05-27T10:16:56.557,0.225,-0.822,-0.160,0.573
1590567416562,2020-05-27T10:16:56.562,0.230,-0.821,-0.158,0.577
1590567416567,2020-05-27T10:16:56.567,0.235,-0.820,-0.164,0.577
1590567416572,2020-05-27T10:16:56.572,0.240,-0.820,-0.164,0.576
1590567416577,2020-05-27T10:16:56.577,0.245,-0.816,-0.165,0.578
1590567416582,2020-05-27T10:16:56.582,0.250,-0.820,-0.160,0.576
1590567416587,2020-05-27T10:16:56.587,0.255,-0.819,-0.162,0.576
1590567416592,2020-05-27T10:16:56.592,0.260,-0.824,-0.162,0.577
1590567416597,2020-05-27T10:16:56.597,0.265,-0.823,-0.163,0.576
1590567416602,2020-05-27T10:16:56.602,0.270,-0.823,-0.161,0.576
1590567416607,2020-05-27T10:16:56.607,0.275,-0.824,-0.162,0.576
1590567416612,2020-05-27T10:16:56.612,0.280,-0.821,-0.164,0.575
1590567416617,2020-05-27T10:16:56.617,0.285,-0.823,-0.163,0.577
1590567416622,2020-05-27T10:16:56.622,0.290,-0.823,-0.165,0.578
1590567416627,2020-05-27T10:16:56.627,0.295,-0.824,-0.165,0.574
1590567416632,2020-05-27T10:16:56.632,0.300,-0.826,-0.165,0.580
1590567416637,2020-05-27T10:16:56.637,0.305,-0.820,-0.162,0.576
1590567416642,2020-05-27T10:16:56.642,0.310,-0.822,-0.160,0.575
1590567416647,2020-05-27T10:16:56.647,0.315,-0.824,-0.164,0.574
1590567416652,2020-05-27T10:16:56.652,0.320,-0.821,-0.166,0.577
1590567416657,2020-05-27T10:16:56.657,0.325,-0.825,-0.162,0.570
1590567416662,2020-05-27T10:16:56.662,0.330,-0.821,-0.160,0.574
1590567416667,2020-05-27T10:16:56.667,0.335,-0.822,-0.160,0.575
1590567416672,2020-05-27T10:16:56.672,0.340,-0.822,-0.163,0.575
1590567416677,2020-05-27T10:16:56.677,0.345,-0.823,-0.165,0.577
1590567416682,2020-05-27T10:16:56.682,0.350,-0.822,-0.165,0.580
1590567416687,2020-05-27T10:16:56.687,0.355,-0.821,-0.159,0.575
1590567416692,2020-05-27T10:16:56.692,0.360,-0.822,-0.162,0.577
1590567416697,2020-05-27T10:16:56.697,0.365,-0.821,-0.165,0.577
1590567416702,2020-05-27T10:16:56.702,0.370,-0.820,-0.165,0.574
1590567416707,2020-05-27T10:16:56.707,0.375,-0.820,-0.164,0.576
1590567416712,2020-05-27T10:16:56.712,0.380,-0.823,-0.161,0.574
1590567416717,2020-05-27T10:16:56.717,0.385,-0.823,-0.167,0.574
1590567416722,2020-05-27T10:16:56.722,0.390,-0.824,-0.161,0.577
1590567416727,2020-05-27T10:16:56.727,0.395,-0.824,-0.162,0.579
1590567416732,2020-05-27T10:16:56.732,0.400,-0.824,-0.164,0.578
1590567416737,2020-05-27T10:16:56.737,0.405,-0.822,-0.163,0.575
1590567416742,2020-05-27T10:16:56.742,0.410,-0.824,-0.163,0.573
1590567416747,2020-05-27T10:16:56.747,0.415,-0.820,-0.160,0.574
1590567416752,2020-05-27T10:16:56.752,0.420,-0.822,-0.161,0.575
1590567416757,2020-05-27T10:16:56.757,0.425,-0.823,-0.160,0.575
1590567416762,2020-05-27T10:16:56.762,0.430,-0.822,-0.159,0.575
1590567416767,2020-05-27T10:16:56.767,0.435,-0.822,-0.158,0.577
1590567416772,2020-05-27T10:16:56.772,0.440,-0.819,-0.159,0.577
1590567416777,2020-05-27T10:16:56.777,0.445,-0.821,-0.160,0.577
1590567416782,2020-05-27T10:16:56.782,0.450,-0.823,-0.160,0.576
1590567416787,2020-05-27T10:16:56.787,0.455,-0.825,-0.158,0.573
1590567416792,2020-05-27T10:16:56.792,0.460,-0.821,-0.158,0.571
1590567416797,2020-05-27T10:16:56.797,0.465,-0.826,-0.160,0.576
1590567416802,2020-05-27T10:16:56.802,0.470,-0.822,-0.158,0.574
1590567416807,2020-05-27T10:16:56.807,0.475,-0.821,-0.162,0.575
1590567416812,2020-05-27T10:16:56.812,0.480,-0.823,-0.158,0.575
1590567416817,2020-05-27T10:16:56.817,0.485,-0.824,-0.157,0.577
1590567416822,2020-05-27T10:16:56.822,0.490,-0.826,-0.158,0.573
1590567416827,2020-05-27T10:16:56.827,0.495,-0.823,-0.160,0.576
1590567416832,2020-05-27T10:16:56.832,0.500,-0.824,-0.161,0.575
1590567416837,2020-05-27T10:16:56.837,0.505,-0.825,-0.159,0.572
1590567416842,2020-05-27T10:16:56.842,0.510,-0.825,-0.158,0.575
1590567416847,2020-05-27T10:16:56.847,0.515,-0.823,-0.164,0.576
1590567416852,2020-05-27T10:16:56.852,0.520,-0.824,-0.162,0.576
1590567416857,2020-05-27T10:16:56.857,0.525,-0.823,-0.164,0.574
1590567416862,2020-05-27T10:16:56.862,0.530,-0.821,-0.161,0.573
1590567416867,2020-05-27T10:16:56.867,0.535,-0.824,-0.161,0.575
1590567416872,2020-05-27T10:16:56.872,0.540,-0.822,-0.162,0.574
1590567416877,2020-05-27T10:16:56.877,0.545,-0.819,-0.157,0.573
1590567416882,2020-05-27T10:16:56.882,0.550,-0.820,-0.159,0.576
1590567416887,2020-05-27T10:16:56.887,0.555,-0.825,-0.163,0.579
1590567416892,2020-05-27T10:16:56.892,0.560,-0.825,-0.160,0.576
1590567416897,2020-05-27T10:16:56.897,0.565,-0.822,-0.158,0.579
1590567416902,2020-05-27T10:16:56.902,0.570,-0.821,-0.159,0.578
1590567416907,2020-05-27T10:16:56.907,0.575,-0.822,-0.165,0.575
1590567416912,2020-05-27T10:16:56.912,0.580,-0.821,-0.159,0.576
1590567416917,2020-05-27T10:16:56.917,0.585,-0.821,-0.161,0.576
1590567416922,2020-05-27T10:16:56.922,0.590,-0.821,-0.160,0.577
1590567416927,2020-05-27T10:16:56.927,0.595,-0.823,-0.158,0.576
1590567416932,2020-05-27T10:16:56.932,0.600,-0.821,-0.158,0.573
1590567416937,2020-05-27T10:16:56.937,0.605,-0.823,-0.159,0.575
1590567416942,2020-05-27T10:16:56.942,0.610,-0.822,-0.157,0.576
